index,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp_x,Att_x,Cmp%_x,PrgP,Carries,PrgC,Att_x,Succ,SoTA,GA,Saves,Save%,PSxG,Cmp_y,Att_y,Cmp%_y,Att (GK),Thr,Launch%,AvgLen,Att_y,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,AvgDist,Clr,Recov,home,game_id
5,Harrison Reed,6.0,eng ENG,DM,27-191,90,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,51.0,3.0,2.0,1.0,0.1,0.1,0.0,1.0,0.0,19.0,34.0,55.9,3.0,23.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,3.0,1,1
6,João Palhinha,26.0,pt POR,DM,27-028,90,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,43.0,6.0,1.0,3.0,0.1,0.1,0.0,1.0,0.0,20.0,26.0,76.9,6.0,12.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1,1
7,Kenny Tete,2.0,nl NED,RB,26-301,90,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,58.0,5.0,2.0,1.0,0.0,0.0,0.1,1.0,1.0,30.0,47.0,63.8,1.0,18.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,1.0,4.0,1,1
8,Manor Solomon,11.0,il ISR,"LW,RW",23-013,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,66.7,1.0,6.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,3.0,5.0,1,1
9,Marek Rodák,1.0,sk SVK,GK,25-236,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,32.0,40.6,0.0,18.0,0.0,0.0,0.0,3.0,2.0,1.0,33.3,1.9,10.0,29.0,34.5,24.0,1.0,87.5,52.7,8.0,100.0,66.8,13.0,1.0,7.7,0.0,13.0,5.0,10.0,1,1
10,Neeskens Kebano,7.0,cd COD,RW,30-149,65,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,23.0,1.0,0.0,0.0,0.0,0.0,0.1,1.0,1.0,11.0,15.0,73.3,1.0,19.0,0.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,6.0,8.0,1,1
11,Shane Duffy,5.0,ie IRL,RW,30-217,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,7.0,5.0,1,1
12,Tim Ream,13.0,us USA,CB,34-305,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,19.0,27.0,70.4,4.0,18.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,5.0,4.0,1,1
13,Tom Cairney,10.0,sct SCO,AM,31-198,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,2.0,1,1
14,Tosin Adarabioyo,4.0,eng ENG,CB,24-316,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,26.0,65.4,5.0,12.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,31.0,64.0,1,1
0,15 Players,,,,,990,2.0,1.0,0.0,0.0,11.0,3.0,0.0,0.0,784.0,11.0,10.0,16.0,1.2,1.2,0.9,20.0,4.0,514.0,675.0,76.1,53.0,418.0,11.0,17.0,4.0,,,,,,,,,,,,,,,,,,,,,0.0,3.0,0,1
1,Alisson,1.0,br BRA,GK,29-308,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,35.0,80.0,0.0,22.0,0.0,0.0,0.0,3.0,2.0,1.0,66.7,1.2,1.0,4.0,25.0,30.0,6.0,10.0,21.9,5.0,20.0,29.8,15.0,0.0,0.0,3.0,23.0,0.0,0.0,0,1
2,Andrew Robertson,26.0,sct SCO,LB,28-148,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,59.0,79.0,74.7,4.0,39.0,1.0,3.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,2.0,0,1
3,Darwin Núñez,27.0,uy URU,FW,23-043,40,1.0,1.0,0.0,0.0,4.0,2.0,0.0,0.0,13.0,0.0,0.0,0.0,0.6,0.6,0.5,1.0,0.0,5.0,6.0,83.3,1.0,6.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0,1
4,Fabinho,3.0,br BRA,CM,28-287,58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,29.0,37.0,78.4,2.0,21.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,2.0,0,1
5,Fabio Carvalho,28.0,pt POR,LW,19-341,13,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,100.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,8.0,0,1
6,Harvey Elliott,19.0,eng ENG,"RM,LM",19-124,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,2.0,17.0,21.0,81.0,4.0,16.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,4.0,0,1
7,James Milner,7.0,eng ENG,LM,36-214,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,12.0,19.0,63.2,0.0,10.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,6.0,0,1
8,Jordan Henderson,14.0,eng ENG,"RM,CM",32-050,90,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,73.0,0.0,1.0,2.0,0.1,0.1,0.2,3.0,0.0,46.0,65.0,70.8,6.0,32.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,2.0,0,1
