index,Player,#_x,Nation,Pos_x,Age,Min,Gls,Ast,PK,PKatt,Sh_x,SoT,CrdY_x,CrdR_x,Touches,Tkl_x,Int_x,Blocks_x,xG,npxG,xAG,SCA,GCA,Cmp_x,Att_x,Cmp%_x,PrgP,Carries,PrgC,Att_x,Succ,#_y,Pos_y,Tkl_y,TklW_x,Def 3rd,Mid 3rd,Att 3rd,Tkl_y,Att_y,Tkl%,Lost_x,Blocks_y,Sh_y,Pass,Int_y,Tkl+Int,Clr,Err,#,Pos,CrdY_y,CrdR_y,2CrdY,Fls,Fld,Off,Crs,Int,TklW_y,PKwon,PKcon,OG,Recov,Won,Lost_y,Won%,SoTA,GA,Saves,Save%,PSxG,Cmp_y,Att,Cmp%_y,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,AvgDist,home,game_id
10,Rachid Ghezzal,31.0,dz ALG,RW,26-093,28,0,0,0,0,0,0,0,0,21,0,0,1,0.0,0.0,0.0,1,0,10,15,66.7,1,13,1,3,1,31.0,RW,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,31.0,RW,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,,,,,,,,,,,,,,,,,,,,,,0,0
11,Ricardo Pereira,14.0,pt POR,"RW,RB",24-308,90,0,0,0,0,1,0,0,0,73,4,2,2,0.0,0.0,0.4,2,0,37,56,66.1,1,43,4,2,0,14.0,"RW,RB",4,3,1,3,0,1,4,25.0,3,2,0,2,2,6,2,0,14.0,"RW,RB",0,0,0,2,0,0,6,2,3,0,0,0,8,4,0,100.0,,,,,,,,,,,,,,,,,,,,,0,0
12,Vicente Iborra,21.0,es ESP,DM,30-206,11,0,0,0,0,0,0,0,0,18,0,2,0,0.0,0.0,0.0,1,0,16,17,94.1,3,12,0,0,0,21.0,DM,0,0,0,0,0,0,1,0.0,1,0,0,0,2,2,0,0,21.0,DM,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,,,,,,,,,,,,,,,,,,,,,,0,0
13,Wes Morgan,5.0,jm JAM,CB,34-201,90,0,0,0,0,0,0,0,0,52,1,0,1,0.0,0.0,0.0,0,0,37,44,84.1,2,31,1,0,0,5.0,CB,1,1,0,1,0,1,1,100.0,0,1,1,0,0,1,3,0,5.0,CB,0,0,0,0,0,0,0,0,1,0,0,0,6,3,1,75.0,,,,,,,,,,,,,,,,,,,,,0,0
0,14 Players,,,,,990,1,1,0,0,15,2,2,0,568,14,20,12,1.0,1.0,0.7,27,2,301,441,68.3,34,249,5,27,15,,,14,11,9,5,0,5,9,55.6,4,12,3,9,20,34,19,2,,,2,0,0,11,12,1,12,20,11,0,0,0,62,32,21,60.4,,,,,,,,,,,,,,,,,,,,,1,1
1,Ayoze Pérez,17.0,es ESP,FW,25-013,80,0,0,0,0,1,1,0,0,32,1,2,2,0.1,0.1,0.1,3,0,13,15,86.7,2,18,1,4,2,17.0,FW,1,0,1,0,0,1,2,50.0,1,2,1,1,2,3,0,0,17.0,FW,0,0,0,0,1,0,1,2,0,0,0,0,4,0,1,0.0,,,,,,,,,,,,,,,,,,,,,1,1
2,Christian Atsu,30.0,gh GHA,RM,26-213,22,0,0,0,0,1,0,0,0,12,1,0,0,0.0,0.0,0.1,1,0,5,6,83.3,1,9,1,1,0,30.0,RM,1,1,0,1,0,0,0,,0,0,0,0,0,1,0,0,30.0,RM,0,0,0,0,1,1,1,0,1,0,0,0,2,0,1,0.0,,,,,,,,,,,,,,,,,,,,,1,1
3,Ciaran Clark,2.0,ie IRL,CB,28-319,90,0,0,0,0,2,0,0,0,47,3,1,2,0.1,0.1,0.0,1,0,22,34,64.7,2,9,0,0,0,2.0,CB,3,3,3,0,0,1,1,100.0,0,2,1,1,1,4,3,0,2.0,CB,0,0,0,1,0,0,0,1,3,0,0,0,6,7,1,87.5,,,,,,,,,,,,,,,,,,,,,1,1
4,DeAndre Yedlin,22.0,us USA,RB,25-033,90,0,0,0,0,1,0,0,0,65,1,2,2,0.0,0.0,0.0,2,1,39,56,69.6,2,27,0,1,0,22.0,RB,1,1,0,1,0,0,1,0.0,1,2,0,2,2,3,2,0,22.0,RB,0,0,0,1,0,0,0,2,1,0,0,0,1,0,3,0.0,,,,,,,,,,,,,,,,,,,,,1,1
5,Jamaal Lascelles,6.0,eng ENG,CB,24-273,90,0,0,0,0,0,0,0,0,62,2,3,0,0.0,0.0,0.0,2,0,40,52,76.9,2,33,0,0,0,6.0,CB,2,2,2,0,0,1,1,100.0,0,0,0,0,3,5,4,0,6.0,CB,0,0,0,1,1,0,0,3,2,0,0,0,7,5,2,71.4,,,,,,,,,,,,,,,,,,,,,1,1
