Rk;Player;Nation;Squad;Age;Born;MP;Starts;Min;90s;Gls;Ast;G+A;G-PK;PK;PKatt;CrdY;CrdR;xG;npxG;xAG;npxG+xAG;PrgC;PrgP;PrgR;Gls;Ast;G+A;G-PK;G+A-PK;xG;xAG;xG+xAG;npxG;npxG+xAG;Matches
40;Lamare Bogarde;nl NED;Aston Villa;21-268;2004;5;2;191;02.jan;0;0;0;0;0;0;1;0;0.0;0.0;0.0;0.0;2;4;2;0.00;0.00;0.00;0.00;0.00;0.00;0.01;0.01;0.00;0.01;Matches
41;Jayden Bogle;eng ENG;Leeds United;25-065;2000;6;6;526;05.aug;0;0;0;0;0;0;2;0;0.2;0.2;0.1;0.3;18;13;19;0.00;0.00;0.00;0.00;0.00;0.03;0.02;0.05;0.03;0.05;Matches
42;Sven Botman;nl NED;Newcastle Utd;25-261;2000;3;3;248;02.aug;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;5;0;0.00;0.00;0.00;0.00;0.00;0.00;0.01;0.01;0.00;0.01;Matches
43;Jarrod Bowen;eng ENG;West Ham;28-284;1996;6;6;540;6.0;3;0;3;3;0;0;0;0;0.8;0.8;0.9;01.jul;22;14;47;0.50;0.00;0.50;0.50;0.50;0.14;0.14;0.29;0.14;0.29;Matches
44;Conor Bradley;nir NIR;Liverpool;22-083;2003;4;2;190;02.jan;0;0;0;0;0;0;2;0;0.1;0.1;0.0;0.1;11;10;12;0.00;0.00;0.00;0.00;0.00;0.03;0.00;0.03;0.03;0.03;Matches
45;Brian Brobbey;nl NED;Sunderland;23-241;2002;2;0;26;0.3;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;1;2;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches
46;Armando Broja;al ALB;Burnley;24-020;2001;2;0;11;0.1;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches
47;David Brooks;wls WAL;Bournemouth;28-084;1997;6;5;374;04.feb;0;1;1;0;0;0;2;0;0.9;0.9;01.apr;02.mar;10;13;38;0.00;0.24;0.24;0.00;0.24;0.21;0.34;0.55;0.21;0.55;Matches
48;Jacob Bruun Larsen;dk DEN;Burnley;27-011;1998;4;2;206;02.mar;0;1;1;0;0;0;0;0;0.1;0.1;0.6;0.7;1;4;14;0.00;0.44;0.44;0.00;0.44;0.03;0.27;0.29;0.03;0.29;Matches
49;Emi Buendía;ar ARG;Aston Villa;28-279;1996;5;2;278;03.jan;1;1;2;1;0;0;1;0;0.7;0.7;0.4;01.jan;10;19;13;0.32;0.32;0.65;0.32;0.65;0.22;0.13;0.35;0.22;0.35;Matches
50;Hugo Bueno;es ESP;Wolves;23-012;2002;6;3;364;4.0;0;0;0;0;0;0;1;0;0.1;0.1;0.5;0.6;12;10;27;0.00;0.00;0.00;0.00;0.00;0.03;0.12;0.15;0.03;0.15;Matches
Rk;Player;Nation;Squad;Age;Born;MP;Starts;Min;90s;Gls;Ast;G+A;G-PK;PK;PKatt;CrdY;CrdR;xG;npxG;xAG;npxG+xAG;PrgC;PrgP;PrgR;Gls;Ast;G+A;G-PK;G+A-PK;xG;xAG;xG+xAG;npxG;npxG+xAG;Matches
51;Santiago Bueno;uy URU;Wolves;26-325;1998;3;2;214;02.apr;1;0;1;1;0;0;0;0;0.8;0.8;0.0;0.8;0;9;1;0.42;0.00;0.42;0.42;0.42;0.31;0.02;0.33;0.31;0.33;Matches
52;Facundo Buonanotte;ar ARG;Chelsea;20-281;2004;1;1;45;0.5;0;0;0;0;0;0;0;0;0.0;0.0;0.3;0.3;0;0;5;0.00;0.00;0.00;0.00;0.00;0.00;0.51;0.51;0.00;0.51;Matches
