index,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp_x,Att_x,Cmp%_x,PrgP,Carries,PrgC,Att_x,Succ,SoTA,GA,Saves,Save%,PSxG,Cmp_y,Att_y,Cmp%_y,Att (GK),Thr,Launch%,AvgLen,Att_y,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,AvgDist,Clr,Recov,xA,xGC,home,game_id
9,Kieran Trippier,2.0,eng ENG,RB,34-331,90,0,0,0,0,0,0,0,0,71,0,3,1,0.0,0.0,0.0,4,0,54,65,83.1,10,41,2,0,0,,,,,,,,,,,,,,,,,,,,,3,5,0.0,0.4,0,1
10,Lewis Miley,67.0,eng ENG,LM,19-107,8,0,0,0,0,0,0,0,0,11,0,0,0,0.0,0.0,0.0,1,0,7,11,63.6,1,10,0,0,0,,,,,,,,,,,,,,,,,,,,,9,5,0.0,0.4,0,1
11,Nick Pope,1.0,eng ENG,GK,33-119,90,0,0,0,0,0,0,0,0,30,0,0,0,0.0,0.0,0.0,1,0,23,29,79.3,0,20,0,0,0,3.0,0.0,3.0,100.0,0.2,1.0,6.0,16.7,26.0,12.0,15.4,25.2,3.0,66.7,46.7,6.0,3.0,50.0,4.0,17.3,6,5,0.0,0.4,0,1
12,Sandro Tonali,8.0,it ITA,CM,25-100,90,0,0,0,0,0,0,0,0,71,2,1,1,0.0,0.0,0.5,3,0,48,61,78.7,8,46,3,1,0,,,,,,,,,,,,,,,,,,,,,1,4,0.1,0.4,0,1
13,Valentino Livramento,21.0,eng ENG,LB,22-277,90,0,0,0,0,0,0,0,0,68,2,0,0,0.0,0.0,0.0,3,0,55,61,90.2,4,46,2,0,0,,,,,,,,,,,,,,,,,,,,,1,3,0.0,0.4,0,1
14,William Osula,18.0,dk DEN,LW,22-012,1,0,0,0,0,1,0,0,0,3,0,0,0,0.0,0.0,0.0,1,0,1,1,100.0,0,3,1,0,0,,,,,,,,,,,,,,,,,,,,,24,50,0.9,0.4,0,1
0,15 Players,,,,,990,3,2,0,0,10,5,0,0,467,14,9,12,0.8,0.8,0.5,19,5,268,360,74.4,23,248,9,7,1,,,,,,,,,,,,,,,,,,,,,0,0,0.0,1.2000000000000002,1,2
1,Chemsdine Talbi,7.0,be BEL,RW,20-099,89,0,1,0,0,0,0,0,0,31,1,0,0,0.0,0.0,0.0,2,1,24,25,96.0,1,23,0,0,0,,,,,,,,,,,,,,,,,,,,,1,1,0.0,1.2000000000000002,1,2
2,Chris Rigg,11.0,eng ENG,RW,18-059,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,0,2,0.0,1.2000000000000002,1,2
3,Daniel Ballard,5.0,nir NIR,CB,25-328,90,1,0,0,0,4,2,0,0,44,1,0,4,0.2,0.2,0.0,2,0,21,25,84.0,1,17,0,0,0,,,,,,,,,,,,,,,,,,,,,2,2,0.0,1.2000000000000002,1,2
