index,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,SoTA,GA,Saves,Save%,home,game_id
2,Ben Watson,23.0,eng ENG,MF,31-035,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,,,,,0,1
3,Craig Cathcart,15.0,nir NIR,CB,27-189,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,,,,0,1
4,Heurelho Gomes,1.0,br BRA,GK,35-180,90,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,6.0,85.7,0,1
5,Ikechi Anya,21.0,sct SCO,"FW,MF",28-223,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,1
6,José Holebas,25.0,gr GRE,LM,32-047,90,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,5.0,1.0,1.0,0.0,0.0,0.0,,,,,0,1
7,Juan Zúñiga,18.0,co COL,"DF,MF",30-243,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,0,1
8,Miguel Britos,3.0,uy URU,CB,31-027,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,,,,,0,1
9,Nordin Amrabat,7.0,ma MAR,RM,29-135,90,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,7.0,1.0,2.0,0.0,0.0,0.0,,,,,0,1
10,Odion Ighalo,24.0,ng NGA,FW,27-058,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,0,1
11,Sebastian Prödl,5.0,at AUT,CB,29-053,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,,,,,0,1
12,Troy Deeney,9.0,eng ENG,FW,28-045,90,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,1
13,Valon Behrami,11.0,ch SUI,CM,31-116,63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,,,,,0,1
14,Étienne Capoue,29.0,fr FRA,CM,28-033,90,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,3.0,3.0,0.0,0.0,0.0,,,,,0,1
0,14 Players,,,,,990,1.0,0.0,0.0,0.0,12.0,6.0,0.0,0.0,10.0,14.0,5.0,13.0,19.0,17.0,0.0,0.0,0.0,,,,,1,2
1,Aaron Lennon,12.0,eng ENG,"FW,MF",29-119,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,,,,1,2
2,Arouna Koné,9.0,ci CIV,FW,32-276,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,1,2
3,Gareth Barry,18.0,eng ENG,CM,35-172,84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,,,,,1,2
